file	relative_path	inferred_manual_or_generated	curation_type	dataset_id_if_applicable	used_in_stage	used_in_figure_or_table	evidence_of_manual_edit	source_file_or_publication	notes
<local_project_root>\00_metadata\verified_metadata\splited\GSE178313_design\GSE178313_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE178313_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE178313_design\GSE178313_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE178313_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE178313_design\GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs.tsv	00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__T=Liver__H=48__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE178313_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE190850_HUMAN_design\GSE190850_HUMAN_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE190850_HUMAN_design/GSE190850_HUMAN_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE190850_HUMAN	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE190850_HUMAN_design\GSE190850_HUMAN_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE190850_HUMAN_design/GSE190850_HUMAN_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE190850_HUMAN	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE190850_HUMAN_design\GSE190850_HUMAN_design__T=BALF__H=1344__B=NA__G=GID00119535__VS=delivery_unstimulated.tsv	00_metadata/verified_metadata/splited/GSE190850_HUMAN_design/GSE190850_HUMAN_design__T=BALF__H=1344__B=NA__G=GID00119535__VS=delivery_unstimulated.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE190850_HUMAN	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_cell_line_design\GSE262515_cell_line__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_cell	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_cell_line_design\GSE262515_cell_line__group_map.tsv	00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_cell	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_cell_line_design\GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_cell	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_cell_line_design\GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_cell	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_design\GSE262515_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_design\GSE262515_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_design\GSE262515_design__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_design\GSE262515_design__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_design\GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_design\GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_design\GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_tissue_design\GSE262515_tissue__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_tissue	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_tissue_design\GSE262515_tissue__group_map.tsv	00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_tissue	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_tissue_design\GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_tissue	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_tissue_design\GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_tissue	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE262515_tissue_design\GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE262515_tissue	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__contrast_index.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__contrast_index.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__group_map.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__group_map.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
<local_project_root>\00_metadata\verified_metadata\splited\GSE264344_design\GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual_or_curated_input	treatment_control_label; tissue_timepoint_annotation; split_definition	GSE264344_design	02_design_and_split_generation; 07_split_contrast_transfer_evaluation	Supplementary Table S2; validation figures	filename/path indicates verified, curated, role, context, mapping, or manual caption source; values not regenerated here	verified metadata directory	Recorded as a manual/curated input or generated table documenting curated inputs.
